ticker,asof_date,volatility_60d,ret_60d
UHS,2023-12-29,0.234478,0.228401
ULTA,2023-12-29,0.308662,0.237974
UNH,2023-12-29,0.149635,0.032649
UNP,2023-12-29,0.183023,0.215275
UPS,2023-12-29,0.24099,0.023823
URI,2023-12-29,0.389874,0.352864
USB,2023-12-29,0.397062,0.386735
V,2023-12-29,0.133587,0.127233
VEEV,2023-12-29,0.386692,-0.039655
VICI,2023-12-29,0.217719,0.124162
VLO,2023-12-29,0.24359,0.010494
VLTO,2023-12-29,0.33985,0.053265
VMC,2023-12-29,0.22876,0.107798
VRSK,2023-12-29,0.19723,-0.003623
VRSN,2023-12-29,0.223713,0.006895
VRT,2023-12-29,0.445548,0.257659
VRTX,2023-12-29,0.354092,0.153317
VST,2023-12-29,0.21988,0.226896
VTR,2023-12-29,0.278677,0.227833
VTRS,2023-12-29,0.248544,0.120227
VZ,2023-12-29,0.269866,0.195497
WAB,2023-12-29,0.211724,0.209242
WAT,2023-12-29,0.334513,0.229571
WBD,2023-12-29,0.659631,0.107872
WDAY,2023-12-29,0.308665,0.318479
WDC,2023-12-29,0.375464,0.156802
WEC,2023-12-29,0.211476,0.062871
WELL,2023-12-29,0.211692,0.104876
WFC,2023-12-29,0.22956,0.263928
WM,2023-12-29,0.177043,0.164501
WMB,2023-12-29,0.174771,0.058019
WMT,2023-12-29,0.215756,-0.020321
WRB,2023-12-29,0.221602,0.115051
WSM,2023-12-29,0.336576,0.330168
WST,2023-12-29,0.292576,-0.055834
WTW,2023-12-29,0.263726,0.156575
WY,2023-12-29,0.275098,0.163655
WYNN,2023-12-29,0.306958,0.033227
XEL,2023-12-29,0.188453,0.093237
XOM,2023-12-29,0.222384,-0.102755
XYL,2023-12-29,0.201672,0.25447
XYZ,2023-12-29,0.478688,0.847587
YUM,2023-12-29,0.164263,0.057562
ZBH,2023-12-29,0.226175,0.109986
ZBRA,2023-12-29,0.402091,0.183719
ZTS,2023-12-29,0.252486,0.155526
