ticker,name,sector,industry,index,country
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,SP500,US
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,SP500,US
EFX,Equifax,Industrials,Research & Consulting Services,SP500,US
EQIX,Equinix,Real Estate,Data Center REITs,SP500,US
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,SP500,US
ERIE,Erie Indemnity,Financials,Insurance Brokers,SP500,US
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,SP500,US
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,SP500,US
EG,Everest Group,Financials,Reinsurance,SP500,US
EVRG,Evergy,Utilities,Electric Utilities,SP500,US
ES,Eversource Energy,Utilities,Electric Utilities,SP500,US
EXC,Exelon,Utilities,Electric Utilities,SP500,US
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,SP500,US
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
EXPD,Expeditors International,Industrials,Air Freight & Logistics,SP500,US
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,SP500,US
XOM,ExxonMobil,Energy,Integrated Oil & Gas,SP500,US
FFIV,"F5, Inc.",Information Technology,Communications Equipment,SP500,US
FDS,FactSet,Financials,Financial Exchanges & Data,SP500,US
FICO,Fair Isaac,Information Technology,Application Software,SP500,US
FAST,Fastenal,Industrials,Trading Companies & Distributors,SP500,US
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,SP500,US
FDX,FedEx,Industrials,Air Freight & Logistics,SP500,US
FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,SP500,US
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,SP500,US
FITB,Fifth Third Bancorp,Financials,Regional Banks,SP500,US
FSLR,First Solar,Information Technology,Semiconductors,SP500,US
FE,FirstEnergy,Utilities,Electric Utilities,SP500,US
FISV,Fiserv,Financials,Transaction & Payment Processing Services,SP500,US
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,SP500,US
FTNT,Fortinet,Information Technology,Systems Software,SP500,US
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,SP500,US
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,SP500,US
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,SP500,US
